datetime,pm25
20140823-0:00,23
20140823-1:00,23
20140823-2:00,24
20140823-3:00,25
20140823-4:00,24
20140823-5:00,24
20140823-6:00,26
20140823-7:00,24
20140823-8:00,25
20140823-9:00,23
20140823-10:00,22
20140823-11:00,23
20140823-12:00,24
20140823-13:00,24
20140823-14:00,25
20140823-15:00,25
20140823-16:00,23
20140823-17:00,22
20140823-18:00,22
20140823-19:00,22
20140823-20:00,23
20140823-21:00,24
20140823-22:00,25
20140823-23:00,22
20140824-0:00,20
20140824-1:00,19
20140824-2:00,18
20140824-3:00,17
20140824-4:00,18
20140824-5:00,18
20140824-6:00,18
20140824-7:00,18
20140824-8:00,18
20140824-9:00,17
20140824-10:00,16
20140824-11:00,21
20140824-12:00,31
20140824-13:00,34
20140824-14:00,34
20140824-15:00,33
20140824-16:00,37
20140824-17:00,36
20140824-18:00,36
20140824-19:00,44
20140824-20:00,44
20140824-21:00,42
20140824-22:00,43
20140824-23:00,54
20140825-0:00,77
20140825-1:00,78
20140825-2:00,62
20140825-3:00,29
20140825-4:00,28
20140825-5:00,26
20140825-6:00,24
20140825-7:00,23
20140825-8:00,21
20140825-9:00,19
20140825-10:00,15
20140825-11:00,15
20140825-12:00,16
20140825-13:00,16
20140825-14:00,17
20140825-15:00,16
20140825-16:00,17
20140825-17:00,18
20140825-18:00,20
20140825-19:00,18
20140825-20:00,16
20140825-21:00,16
20140825-22:00,20
20140825-23:00,23
20140826-0:00,22
20140826-1:00,18
20140826-2:00,19
20140826-3:00,20
20140826-4:00,18
20140826-5:00,17
20140826-6:00,18
20140826-7:00,17
20140826-8:00,14
20140826-9:00,14
20140826-10:00,14
20140826-11:00,12
20140826-12:00,12
20140826-13:00,11
20140826-14:00,11
20140826-15:00,11
20140826-16:00,11
20140826-17:00,11
20140826-18:00,12
20140826-19:00,11
20140826-20:00,12
20140826-21:00,12
20140826-22:00,12
20140826-23:00,12
20140827-0:00,12
20140827-1:00,12
20140827-2:00,13
20140827-3:00,13
20140827-4:00,13
20140827-5:00,12
20140827-6:00,13
20140827-7:00,14
20140827-8:00,16
20140827-9:00,17
20140827-10:00,16
20140827-11:00,15
20140827-12:00,14
20140827-13:00,14
20140827-14:00,15
20140827-15:00,17
20140827-16:00,19
20140827-17:00,19
20140827-18:00,17
20140827-19:00,16
20140827-20:00,16
20140827-21:00,15
20140827-22:00,15
20140827-23:00,16
20140828-0:00,18
20140828-1:00,19
20140828-2:00,20
20140828-3:00,19
20140828-4:00,19
20140828-5:00,21
20140828-6:00,19
20140828-7:00,19
20140828-8:00,14
20140828-9:00,13
20140828-10:00,18
20140828-11:00,20
20140828-12:00,21
20140828-13:00,23
20140828-14:00,23
20140828-15:00,26
20140828-16:00,26
20140828-17:00,25
20140828-18:00,25
20140828-19:00,25
20140828-20:00,26
20140828-21:00,31
20140828-22:00,38
20140828-23:00,48
20140829-0:00,56
20140829-1:00,61
20140829-2:00,60
20140829-3:00,63
20140829-4:00,61
20140829-5:00,61
20140829-6:00,59
20140829-7:00,58
20140829-8:00,52
20140829-9:00,44
20140829-10:00,35
20140829-11:00,34
20140829-12:00,34
20140829-13:00,30
20140829-14:00,28
20140829-15:00,26
20140829-16:00,24
20140829-17:00,24
20140829-18:00,27
20140829-19:00,31
20140829-20:00,34
20140829-21:00,35
20140829-22:00,38
20140829-23:00,38
20140830-0:00,38
20140830-1:00,39
20140830-2:00,32
20140830-3:00,28
20140830-4:00,29
20140830-5:00,28
20140830-6:00,28
20140830-7:00,28
20140830-8:00,28
20140830-9:00,26
20140830-10:00,26
20140830-11:00,28
20140830-12:00,28
20140830-13:00,26
20140830-14:00,25
20140830-15:00,23
20140830-16:00,22
20140830-17:00,24
20140830-18:00,26
20140830-19:00,27
20140830-20:00,28
20140830-21:00,28
20140830-22:00,28
20140830-23:00,30
20140831-0:00,30
20140831-1:00,28
20140831-2:00,28
20140831-3:00,26
20140831-4:00,24
20140831-5:00,24
20140831-6:00,25
20140831-7:00,25
20140831-8:00,26
20140831-9:00,26
20140831-10:00,30
20140831-11:00,28
20140831-12:00,25
20140831-13:00,26
20140831-14:00,28
20140831-15:00,27
20140831-16:00,26
20140831-17:00,25
20140831-18:00,26
20140831-19:00,29
20140831-20:00,31
20140831-21:00,30
20140831-22:00,29
20140831-23:00,29
20140901-0:00,30
20140901-1:00,32
20140901-2:00,33
20140901-3:00,32
20140901-4:00,33
20140901-5:00,36
20140901-6:00,35
20140901-7:00,34
20140901-8:00,34
20140901-9:00,30
20140901-10:00,30
20140901-11:00,28
20140901-12:00,29
20140901-13:00,29
20140901-14:00,29
20140901-15:00,25
20140901-16:00,23
20140901-17:00,24
20140901-18:00,24
20140901-19:00,25
20140901-20:00,27
20140901-21:00,28
20140901-22:00,26
20140901-23:00,30
20140902-0:00,33
20140902-1:00,28
20140902-2:00,30
20140902-3:00,30
20140902-4:00,30
20140902-5:00,28
20140902-6:00,28
20140902-7:00,30
20140902-8:00,27
20140902-9:00,25
20140902-10:00,22
20140902-11:00,22
20140902-12:00,23
20140902-13:00,24
20140902-14:00,23
20140902-15:00,25
20140902-16:00,27
20140902-17:00,27
20140902-18:00,29
20140902-19:00,27
20140902-20:00,24
20140902-21:00,19
20140902-22:00,18
20140902-23:00,15
20140903-0:00,15
20140903-1:00,16
20140903-2:00,16
20140903-3:00,18
20140903-4:00,19
20140903-5:00,20
20140903-6:00,18
20140903-7:00,17
20140903-8:00,19
20140903-9:00,18
20140903-10:00,19
20140903-11:00,20
20140903-12:00,20
20140903-13:00,16
20140903-14:00,12
20140903-15:00,13
20140903-16:00,14
20140903-17:00,13
20140903-18:00,15
20140903-19:00,14
20140903-20:00,12
20140903-21:00,12
20140903-22:00,12
20140903-23:00,12
20140904-0:00,12
20140904-1:00,12
20140904-2:00,12
20140904-3:00,12
20140904-4:00,12
20140904-5:00,12
20140904-6:00,12
20140904-7:00,12
20140904-8:00,12
20140904-9:00,13
20140904-10:00,12
20140904-11:00,12
20140904-12:00,12
20140904-13:00,12
20140904-14:00,12
20140904-15:00,13
20140904-16:00,15
20140904-17:00,14
20140904-18:00,12
20140904-19:00,12
20140904-20:00,12
20140904-21:00,13
20140904-22:00,14
20140904-23:00,13
20140905-0:00,14
20140905-1:00,14
20140905-2:00,13
20140905-3:00,13
20140905-4:00,13
20140905-5:00,13
20140905-6:00,14
20140905-7:00,14
20140905-8:00,16
20140905-9:00,18
20140905-10:00,17
20140905-11:00,16
20140905-12:00,13
20140905-13:00,12
20140905-14:00,12
20140905-15:00,12
20140905-16:00,12
20140905-17:00,12
20140905-18:00,12
20140905-19:00,12
20140905-20:00,12
20140905-21:00,12
20140905-22:00,12
20140905-23:00,12
20140906-0:00,12
20140906-1:00,14
20140906-2:00,15
20140906-3:00,14
20140906-4:00,15
20140906-5:00,15
20140906-6:00,16
20140906-7:00,14
20140906-8:00,12
20140906-9:00,12
20140906-10:00,12
20140906-11:00,12
20140906-12:00,12
20140906-13:00,12
20140906-14:00,12
20140906-15:00,12
20140906-16:00,12
20140906-17:00,12
20140906-18:00,12
20140906-19:00,14
20140906-20:00,13
20140906-21:00,14
20140906-22:00,14
20140906-23:00,13
20140907-0:00,13
20140907-1:00,13
20140907-2:00,13
20140907-3:00,14
20140907-4:00,16
20140907-5:00,16
20140907-6:00,17
20140907-7:00,17
20140907-8:00,16
20140907-9:00,16
20140907-10:00,17
20140907-11:00,16
20140907-12:00,16.125
20140907-13:00,16.25
20140907-14:00,16.375
20140907-15:00,16.5
20140907-16:00,16.625
20140907-17:00,16.75
20140907-18:00,16.875
20140907-19:00,17
20140907-20:00,19
20140907-21:00,24
20140907-22:00,44
20140907-23:00,56
20140908-0:00,64
20140908-1:00,63
20140908-2:00,60
20140908-3:00,54
20140908-4:00,46
20140908-5:00,47
20140908-6:00,39
20140908-7:00,25
20140908-8:00,23
20140908-9:00,21
20140908-10:00,17
20140908-11:00,14
20140908-12:00,14
20140908-13:00,13
20140908-14:00,11
20140908-15:00,11
20140908-16:00,12
20140908-17:00,12
20140908-18:00,12
20140908-19:00,12
20140908-20:00,12
20140908-21:00,12
20140908-22:00,12
20140908-23:00,12
20140909-0:00,12
20140909-1:00,12
20140909-2:00,12
20140909-3:00,12
20140909-4:00,12
20140909-5:00,12
20140909-6:00,12
20140909-7:00,12
20140909-8:00,13
20140909-9:00,13
20140909-10:00,13
20140909-11:00,13
20140909-12:00,12
20140909-13:00,12
20140909-14:00,11
20140909-15:00,11
20140909-16:00,11
20140909-17:00,11
20140909-18:00,11
20140909-19:00,12
20140909-20:00,12
20140909-21:00,13
20140909-22:00,13
20140909-23:00,13
20140910-0:00,13
20140910-1:00,14
20140910-2:00,15
20140910-3:00,16
20140910-4:00,15.5
20140910-5:00,15
20140910-6:00,14.5
20140910-7:00,14
20140910-8:00,13.5
20140910-9:00,13
20140910-10:00,12.5
20140910-11:00,12
20140910-12:00,12
20140910-13:00,12
20140910-14:00,12
20140910-15:00,11
20140910-16:00,12
20140910-17:00,12
20140910-18:00,12
20140910-19:00,12
20140910-20:00,12
20140910-21:00,12
20140910-22:00,12
20140910-23:00,12
20140911-0:00,12
20140911-1:00,12
20140911-2:00,14
20140911-3:00,16
20140911-4:00,19
20140911-5:00,24
20140911-6:00,24
20140911-7:00,23
20140911-8:00,19
20140911-9:00,14
20140911-10:00,11
20140911-11:00,11
20140911-12:00,12
20140911-13:00,11
20140911-14:00,11
20140911-15:00,11
20140911-16:00,11
20140911-17:00,11
20140911-18:00,12
20140911-19:00,12
20140911-20:00,12
20140911-21:00,12
20140911-22:00,12
20140911-23:00,12
20140912-0:00,11
20140912-1:00,12
20140912-2:00,12
20140912-3:00,12
20140912-4:00,12
20140912-5:00,12
20140912-6:00,12
20140912-7:00,12
20140912-8:00,13
20140912-9:00,13
20140912-10:00,12
20140912-11:00,12
20140912-12:00,12
20140912-13:00,12
20140912-14:00,12
20140912-15:00,12
20140912-16:00,12
20140912-17:00,12
20140912-18:00,12
20140912-19:00,12
20140912-20:00,12
20140912-21:00,12
20140912-22:00,12
20140912-23:00,13
20140913-0:00,13
20140913-1:00,12
20140913-2:00,12
20140913-3:00,12
20140913-4:00,13
20140913-5:00,13
20140913-6:00,13
20140913-7:00,13
20140913-8:00,13
20140913-9:00,12
20140913-10:00,12
20140913-11:00,12
20140913-12:00,12
20140913-13:00,12
20140913-14:00,12
20140913-15:00,12
20140913-16:00,12
20140913-17:00,12
20140913-18:00,12
20140913-19:00,12
20140913-20:00,12
20140913-21:00,12
20140913-22:00,12
20140913-23:00,12
20140914-0:00,12
20140914-1:00,12
20140914-2:00,12
20140914-3:00,13
20140914-4:00,13
20140914-5:00,14
20140914-6:00,14
20140914-7:00,15
20140914-8:00,16
20140914-9:00,18
20140914-10:00,14
20140914-11:00,13
20140914-12:00,12
20140914-13:00,12
20140914-14:00,11
20140914-15:00,11
20140914-16:00,11
20140914-17:00,11
20140914-18:00,11
20140914-19:00,12
20140914-20:00,12
20140914-21:00,12
20140914-22:00,13
20140914-23:00,12
20140915-0:00,12
20140915-1:00,12
20140915-2:00,12
20140915-3:00,12
20140915-4:00,13
20140915-5:00,12
20140915-6:00,12
20140915-7:00,13
20140915-8:00,17
20140915-9:00,19
20140915-10:00,17
20140915-11:00,15
20140915-12:00,12
20140915-13:00,11
20140915-14:00,11
20140915-15:00,12
20140915-16:00,12
20140915-17:00,129
20140915-18:00,131
20140915-19:00,136
20140915-20:00,144
20140915-21:00,147
20140915-22:00,150
20140915-23:00,151
20140916-0:00,152
20140916-1:00,106
20140916-2:00,63
20140916-3:00,48
20140916-4:00,38
20140916-5:00,32
20140916-6:00,29
20140916-7:00,25
20140916-8:00,23
20140916-9:00,38.57142857
20140916-10:00,54.14285714
20140916-11:00,69.71428571
20140916-12:00,85.28571429
20140916-13:00,100.8571429
20140916-14:00,116.4285714
20140916-15:00,132
20140916-16:00,131
20140916-17:00,132
20140916-18:00,135
20140916-19:00,146
20140916-20:00,152
20140916-21:00,159
20140916-22:00,158
20140916-23:00,91
20140917-0:00,34
20140917-1:00,32
20140917-2:00,30
20140917-3:00,29
20140917-4:00,27
20140917-5:00,24
20140917-6:00,24
20140917-7:00,24
20140917-8:00,24
20140917-9:00,24
20140917-10:00,24
20140917-11:00,24
20140917-12:00,19
20140917-13:00,16
20140917-14:00,13
20140917-15:00,12
20140917-16:00,12
20140917-17:00,12
20140917-18:00,12
20140917-19:00,13
20140917-20:00,13
20140917-21:00,14
20140917-22:00,15
20140917-23:00,16
20140918-0:00,18
20140918-1:00,19
20140918-2:00,21
20140918-3:00,20
20140918-4:00,20
20140918-5:00,19
20140918-6:00,21
20140918-7:00,21
20140918-8:00,23
20140918-9:00,25
20140918-10:00,24
20140918-11:00,23
20140918-12:00,22
20140918-13:00,19
20140918-14:00,18
20140918-15:00,18
20140918-16:00,17
20140918-17:00,16
20140918-18:00,17
20140918-19:00,18
20140918-20:00,18
20140918-21:00,18
20140918-22:00,17
20140918-23:00,16
20140919-0:00,17
20140919-1:00,18
20140919-2:00,18
20140919-3:00,20
20140919-4:00,21
20140919-5:00,19
20140919-6:00,18
20140919-7:00,20
20140919-8:00,21
20140919-9:00,19
20140919-10:00,17
20140919-11:00,15
20140919-12:00,14
20140919-13:00,15
20140919-14:00,15
20140919-15:00,13
20140919-16:00,13
20140919-17:00,12
20140919-18:00,14
20140919-19:00,14
20140919-20:00,12
20140919-21:00,13
20140919-22:00,14
20140919-23:00,14
20140920-0:00,14
20140920-1:00,14
20140920-2:00,14
20140920-3:00,14
20140920-4:00,14
20140920-5:00,14
20140920-6:00,16
20140920-7:00,17
20140920-8:00,19
20140920-9:00,19
20140920-10:00,18
20140920-11:00,19
20140920-12:00,19
20140920-13:00,19
20140920-14:00,19
20140920-15:00,17
20140920-16:00,15
20140920-17:00,15
20140920-18:00,17
20140920-19:00,20
20140920-20:00,21
20140920-21:00,22
20140920-22:00,23
20140920-23:00,24
20140921-0:00,25
20140921-1:00,24
20140921-2:00,26
20140921-3:00,25
20140921-4:00,26
20140921-5:00,28
20140921-6:00,30
20140921-7:00,30
20140921-8:00,29
20140921-9:00,29
20140921-10:00,28
20140921-11:00,23
20140921-12:00,22
20140921-13:00,22
20140921-14:00,21
20140921-15:00,20
20140921-16:00,18
20140921-17:00,16
20140921-18:00,14
20140921-19:00,14
20140921-20:00,16
20140921-21:00,14
20140921-22:00,13
20140921-23:00,13
20140922-0:00,14
20140922-1:00,14
20140922-2:00,14
20140922-3:00,14
20140922-4:00,14
20140922-5:00,16
20140922-6:00,17
20140922-7:00,20
20140922-8:00,23
20140922-9:00,22
20140922-10:00,21
20140922-11:00,20
20140922-12:00,19
20140922-13:00,17
20140922-14:00,17
20140922-15:00,16
20140922-16:00,15
20140922-17:00,14
20140922-18:00,13
20140922-19:00,13
20140922-20:00,14
20140922-21:00,15
20140922-22:00,18
20140922-23:00,20
20140923-0:00,19
20140923-1:00,19
20140923-2:00,20
20140923-3:00,20
20140923-4:00,19
20140923-5:00,23
20140923-6:00,25
20140923-7:00,31
20140923-8:00,36
20140923-9:00,41
20140923-10:00,53
20140923-11:00,53
20140923-12:00,43
20140923-13:00,43
20140923-14:00,48
20140923-15:00,41
20140923-16:00,37
20140923-17:00,36
20140923-18:00,28
20140923-19:00,24
20140923-20:00,23
20140923-21:00,23
20140923-22:00,23
20140923-23:00,21
20140924-0:00,23
20140924-1:00,22
20140924-2:00,21
20140924-3:00,21
20140924-4:00,21
20140924-5:00,22
20140924-6:00,22
20140924-7:00,23
20140924-8:00,27
20140924-9:00,24
20140924-10:00,21
20140924-11:00,17
20140924-12:00,15
20140924-13:00,14
20140924-14:00,12
20140924-15:00,12
20140924-16:00,12
20140924-17:00,12
20140924-18:00,12
20140924-19:00,13
20140924-20:00,13
20140924-21:00,12
20140924-22:00,13
20140924-23:00,13
20140925-0:00,12
20140925-1:00,12
20140925-2:00,13
20140925-3:00,13
20140925-4:00,12
20140925-5:00,13
20140925-6:00,15
20140925-7:00,16
20140925-8:00,15
20140925-9:00,18
20140925-10:00,17
20140925-11:00,14
20140925-12:00,13
20140925-13:00,14
20140925-14:00,15
20140925-15:00,16
20140925-16:00,16
20140925-17:00,15
20140925-18:00,16
20140925-19:00,16
20140925-20:00,16
20140925-21:00,15
20140925-22:00,16
20140925-23:00,17
20140926-0:00,17
20140926-1:00,18
20140926-2:00,18
20140926-3:00,17
20140926-4:00,17
20140926-5:00,17
20140926-6:00,16
20140926-7:00,15
20140926-8:00,14
20140926-9:00,14
20140926-10:00,14
20140926-11:00,14
20140926-12:00,13
20140926-13:00,13
20140926-14:00,13
20140926-15:00,12
20140926-16:00,12
20140926-17:00,12
20140926-18:00,12
20140926-19:00,13
20140926-20:00,14
20140926-21:00,16
